	 ncbi_gene_id	gene_symbol	hpo_id	hpo_name
3473	238	ALK	HP:0011976	Elevated urinary catecholamines
3474	238	ALK	HP:0004375	Neoplasm of the nervous system
7118	523	ATP6V1A	HP:0002465	Poor speech
7119	523	ATP6V1A	HP:0010954	Hypoplastic right heart
7120	523	ATP6V1A	HP:0009933	Narrow naris
7121	523	ATP6V1A	HP:0025167	Fragmented elastic fibers in the dermis
7122	523	ATP6V1A	HP:0002421	Poor head control
7123	523	ATP6V1A	HP:0003758	Reduced subcutaneous adipose tissue
7124	523	ATP6V1A	HP:0001298	Encephalopathy
7125	523	ATP6V1A	HP:0001290	Generalized hypotonia
7126	523	ATP6V1A	HP:0001272	Cerebellar atrophy
7127	523	ATP6V1A	HP:0025244	Subretinal pigment epithelium hemorrhage
7128	523	ATP6V1A	HP:0001273	Abnormal corpus callosum morphology
7129	523	ATP6V1A	HP:0001270	Motor delay
7130	523	ATP6V1A	HP:0001268	Mental deterioration
7131	523	ATP6V1A	HP:0001288	Gait disturbance
7132	523	ATP6V1A	HP:0001285	Spastic tetraparesis
7133	523	ATP6V1A	HP:0001250	Seizure
7134	523	ATP6V1A	HP:0001251	Ataxia
7135	523	ATP6V1A	HP:0001249	Intellectual disability
7136	523	ATP6V1A	HP:0001265	Hyporeflexia
7137	523	ATP6V1A	HP:0001263	Global developmental delay
7138	523	ATP6V1A	HP:0001257	Spasticity
7139	523	ATP6V1A	HP:0025201	Abnormal circulating apolipoprotein concentration
7140	523	ATP6V1A	HP:0100874	Thick hair
7141	523	ATP6V1A	HP:0007392	Excessive wrinkled skin
7142	523	ATP6V1A	HP:0008689	Bilateral cryptorchidism
7143	523	ATP6V1A	HP:0010989	Abnormality of the intrinsic pathway
7144	523	ATP6V1A	HP:0002540	Inability to walk
7145	523	ATP6V1A	HP:0002521	Hypsarrhythmia
7146	523	ATP6V1A	HP:0003828	Variable expressivity
7147	523	ATP6V1A	HP:0002509	Limb hypertonia
7148	523	ATP6V1A	HP:0001374	Congenital hip dislocation
7149	523	ATP6V1A	HP:0000054	Micropenis
7150	523	ATP6V1A	HP:0001385	Hip dysplasia
7151	523	ATP6V1A	HP:0000023	Inguinal hernia
7152	523	ATP6V1A	HP:0001347	Hyperreflexia
7153	523	ATP6V1A	HP:0008897	Postnatal growth retardation
7154	523	ATP6V1A	HP:0007552	Abnormal subcutaneous fat tissue distribution
7155	523	ATP6V1A	HP:0007457	Prominent veins on trunk
7156	523	ATP6V1A	HP:0001344	Absent speech
7157	523	ATP6V1A	HP:0001339	Lissencephaly
7158	523	ATP6V1A	HP:0000007	Autosomal recessive inheritance
7159	523	ATP6V1A	HP:0001337	Tremor
7160	523	ATP6V1A	HP:0000006	Autosomal dominant inheritance
7161	523	ATP6V1A	HP:0001336	Myoclonus
7162	523	ATP6V1A	HP:0001305	Dandy-Walker malformation
7163	523	ATP6V1A	HP:0001302	Pachygyria
7164	523	ATP6V1A	HP:0001321	Cerebellar hypoplasia
7165	523	ATP6V1A	HP:0001315	Reduced tendon reflexes
7166	523	ATP6V1A	HP:0001476	Delayed closure of the anterior fontanelle
7167	523	ATP6V1A	HP:0008947	Infantile muscular hypotonia
7168	523	ATP6V1A	HP:0002761	Generalized joint laxity
7169	523	ATP6V1A	HP:0002751	Kyphoscoliosis
7170	523	ATP6V1A	HP:0002020	Gastroesophageal reflux
7171	523	ATP6V1A	HP:0005989	Redundant neck skin
7172	523	ATP6V1A	HP:0002097	Emphysema
7173	523	ATP6V1A	HP:0002063	Rigidity
7174	523	ATP6V1A	HP:0002079	Hypoplasia of the corpus callosum
7175	523	ATP6V1A	HP:0002059	Cerebral atrophy
7176	523	ATP6V1A	HP:0011712	Right bundle branch block
7177	523	ATP6V1A	HP:0002133	Status epilepticus
7178	523	ATP6V1A	HP:0002126	Polymicrogyria
7179	523	ATP6V1A	HP:0003429	CNS hypomyelination
7180	523	ATP6V1A	HP:0002107	Pneumothorax
7181	523	ATP6V1A	HP:0002187	Intellectual disability, profound
7182	523	ATP6V1A	HP:0002171	Gliosis
7183	523	ATP6V1A	HP:0100710	Impulsivity
7184	523	ATP6V1A	HP:0002208	Coarse hair
7185	523	ATP6V1A	HP:0200134	Epileptic encephalopathy
7186	523	ATP6V1A	HP:0007018	Attention deficit hyperactivity disorder
7187	523	ATP6V1A	HP:0011968	Feeding difficulties
7188	523	ATP6V1A	HP:0002361	Psychomotor deterioration
7189	523	ATP6V1A	HP:0002376	Developmental regression
7190	523	ATP6V1A	HP:0002355	Difficulty walking
7191	523	ATP6V1A	HP:0002317	Unsteady gait
7192	523	ATP6V1A	HP:0010844	EEG with multifocal slow activity
7193	523	ATP6V1A	HP:0100660	Dyskinesia
7194	523	ATP6V1A	HP:0004970	Ascending tubular aorta aneurysm
7195	523	ATP6V1A	HP:0006891	Thick cerebral cortex
7196	523	ATP6V1A	HP:0000639	Nystagmus
7197	523	ATP6V1A	HP:0000648	Optic atrophy
7198	523	ATP6V1A	HP:0000612	Iris coloboma
7199	523	ATP6V1A	HP:0000621	Entropion
7200	523	ATP6V1A	HP:0000670	Carious teeth
7201	523	ATP6V1A	HP:0000668	Hypodontia
7202	523	ATP6V1A	HP:0004322	Short stature
7203	523	ATP6V1A	HP:0004305	Involuntary movements
7204	523	ATP6V1A	HP:0031936	Delayed ability to walk
7205	523	ATP6V1A	HP:0000750	Delayed speech and language development
7206	523	ATP6V1A	HP:0000717	Autism
7207	523	ATP6V1A	HP:0000726	Dementia
7208	523	ATP6V1A	HP:0000708	Atypical behavior
7209	523	ATP6V1A	HP:0011443	Abnormality of coordination
7210	523	ATP6V1A	HP:0009125	Lipodystrophy
7211	523	ATP6V1A	HP:0003199	Decreased muscle mass
7212	523	ATP6V1A	HP:0003196	Short nose
7213	523	ATP6V1A	HP:0003160	Abnormal isoelectric focusing of serum transferrin
7214	523	ATP6V1A	HP:0034392	Joint contracture
7215	523	ATP6V1A	HP:0000973	Cutis laxa
7216	523	ATP6V1A	HP:0008070	Sparse hair
7217	523	ATP6V1A	HP:0000278	Retrognathia
