patient_id	genes	similarities	Gene stable ID	Gene name
Group_1	ENSG00000156709	0.6823550462722778	ENSG00000156709	AIFM1
Group_1	ENSG00000166949	0.6452757120132446	ENSG00000166949	SMAD3
Group_1	ENSG00000197859	0.6291744709014893	ENSG00000197859	ADAMTSL2
Group_1	ENSG00000163635	0.6250173449516296	ENSG00000163635	ATXN7
Group_1	ENSG00000197122	0.6233416795730591	ENSG00000197122	SRC
Group_1	ENSG00000070814	0.6182597875595093	ENSG00000070814	TCOF1
Group_1	ENSG00000153902	0.6167922616004944	ENSG00000153902	LGI4
Group_1	ENSG00000171298	0.6136012673377991	ENSG00000171298	GAA
Group_1	ENSG00000049540	0.6134516596794128	ENSG00000049540	ELN
Group_1	ENSG00000240583	0.6096718311309814	ENSG00000240583	AQP1
Group_1	ENSG00000006283	0.6093889474868774	ENSG00000006283	CACNA1G
Group_1	ENSG00000168906	0.6090317964553833	ENSG00000168906	MAT2A
Group_1	ENSG00000177000	0.6089640855789185	ENSG00000177000	MTHFR
Group_1	ENSG00000132170	0.607029914855957	ENSG00000132170	PPARG
Group_1	ENSG00000138696	0.6061408519744873	ENSG00000138696	BMPR1B
Group_1	ENSG00000102683	0.6022621989250183	ENSG00000102683	SGCG
Group_1	ENSG00000121691	0.6021799445152283	ENSG00000121691	CAT
Group_1	ENSG00000077327	0.6002811193466187	ENSG00000077327	SPAG6
Group_1	ENSG00000130635	0.5969983339309692	ENSG00000130635	COL5A1
Group_1	ENSG00000120071	0.5910079479217529	ENSG00000120071	KANSL1
Group_1	ENSG00000128739	0.5901551246643066	ENSG00000128739	SNRPN
Group_1	ENSG00000196159	0.5888811349868774	ENSG00000196159	FAT4
Group_1	ENSG00000119689	0.5848790407180786	ENSG00000119689	DLST
Group_1	ENSG00000004399	0.584101676940918	ENSG00000004399	PLXND1
Group_1	ENSG00000165973	0.5829408168792725	ENSG00000165973	NELL1
Group_1	ENSG00000088682	0.5825915932655334	ENSG00000088682	COQ9
Group_1	ENSG00000092969	0.5796427726745605	ENSG00000092969	TGFB2
Group_1	ENSG00000164066	0.5790107250213623	ENSG00000164066	INTU
Group_1	ENSG00000180228	0.5770546197891235	ENSG00000180228	PRKRA
